Altium Designer Pick and Place Locations
C:\Users\idiaz\Desktop\FlightComputer\Altium Design\ADA2\Project Outputs for ADA2\Pick Place\Pick-and-Place.csv

========================================================================================================================
File Design Information:

Date:       04/06/23
Time:       14:54
Revision:   cd845bdfe4bf515456d5288d8627629750b26126
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","83.1407mm","41.5290mm","TopLayer","180"
"C2","85.6996mm","46.6684mm","TopLayer","90"
"C3","88.6968mm","46.6726mm","TopLayer","270"
"C4","85.6148mm","16.1798mm","TopLayer","0"
"C5","61.2075mm","29.6910mm","TopLayer","90"
"C6","73.9139mm","1.3970mm","TopLayer","180"
"C7","55.3010mm","44.8924mm","TopLayer","270"
"C8","61.7220mm","35.9410mm","TopLayer","0"
"C9","58.0390mm","25.6540mm","TopLayer","90"
"C10","53.0225mm","44.8924mm","TopLayer","90"
"C11","54.3560mm","25.9080mm","TopLayer","270"
"C12","66.4210mm","3.3020mm","TopLayer","90"
"C13","60.9600mm","3.3020mm","TopLayer","270"
"C14","30.1412mm","35.7378mm","TopLayer","0"
"C15","30.1412mm","33.4010mm","TopLayer","180"
"C16","38.0600mm","34.6034mm","TopLayer","270"
"C17","40.4876mm","34.5698mm","TopLayer","90"
"C18","38.1863mm","23.8760mm","TopLayer","270"
"C19","40.5130mm","23.8760mm","TopLayer","90"
"C20","56.9632mm","19.0754mm","TopLayer","90"
"C21","63.7930mm","3.3020mm","TopLayer","270"
"D1","50.0380mm","12.0574mm","TopLayer","90"
"D2","50.0634mm","10.0237mm","TopLayer","270"
"D3","46.1379mm","5.8928mm","TopLayer","0"
"D4","70.9930mm","47.8790mm","TopLayer","180"
"D5","42.9260mm","41.1226mm","TopLayer","270"
"D6","33.4940mm","47.1980mm","TopLayer","90"
"FD1","20.1369mm","8.2550mm","TopLayer","0"
"FD2","60.3250mm","14.9860mm","TopLayer","0"
"FD3","11.9380mm","50.3936mm","TopLayer","0"
"H1","85.0000mm","5.0000mm","TopLayer","0"
"H3","5.0000mm","5.0000mm","TopLayer","0"
"H4","5.0000mm","50.0000mm","TopLayer","0"
"P1","58.0898mm","52.3240mm","TopLayer","180"
"P2","1.9765mm","15.3115mm","TopLayer","270"
"P3","81.5461mm","53.0352mm","TopLayer","180"
"P4","43.0045mm","2.8540mm","TopLayer","90"
"P5","4.9530mm","39.7110mm","TopLayer","0"
"P6","22.1850mm","50.1650mm","TopLayer","270"
"P7","37.5820mm","51.5860mm","TopLayer","180"
"P8","4.9530mm","28.6150mm","TopLayer","0"
"Q1","66.5480mm","23.8490mm","TopLayer","90"
"Q2","64.7430mm","14.9860mm","TopLayer","0"
"Q3","14.0970mm","33.7820mm","TopLayer","180"
"R1","76.6740mm","50.1396mm","TopLayer","0"
"R2","85.2678mm","43.6880mm","TopLayer","180"
"R3","77.7240mm","6.7310mm","TopLayer","0"
"R4","16.2900mm","23.3557mm","TopLayer","90"
"R5","15.2400mm","27.8130mm","TopLayer","180"
"R6","13.3664mm","45.0622mm","TopLayer","270"
"R7","62.5305mm","20.8280mm","TopLayer","90"
"R8","66.7258mm","18.9241mm","TopLayer","180"
"R9","13.3664mm","39.8880mm","TopLayer","270"
"R10","23.3934mm","33.4686mm","TopLayer","180"
"R11","49.3776mm","36.3295mm","TopLayer","180"
"R12","49.1912mm","39.9034mm","TopLayer","180"
"R13","18.5420mm","38.4550mm","TopLayer","180"
"R14","19.8120mm","34.5186mm","TopLayer","90"
"R15","18.5420mm","41.2750mm","TopLayer","0"
"R16","72.2583mm","44.3992mm","TopLayer","0"
"R17","69.4944mm","51.9938mm","TopLayer","90"
"R18","11.4170mm","5.0000mm","TopLayer","180"
"R19","42.9240mm","45.4660mm","TopLayer","90"
"R20","34.5440mm","44.1960mm","TopLayer","0"
"R21","73.9139mm","3.7084mm","TopLayer","0"
"R22","77.9526mm","2.6670mm","TopLayer","90"
"S1","83.4610mm","11.6020mm","TopLayer","0"
"S2","49.5266mm","18.1668mm","TopLayer","0"
"TP1","32.3777mm","3.7216mm","TopLayer","0"
"TP2","32.4031mm","9.0302mm","TopLayer","0"
"TP3","50.4276mm","31.0896mm","TopLayer","180"
"TP4","48.2346mm","44.3992mm","TopLayer","0"
"TP5","44.6949mm","31.1059mm","TopLayer","0"
"TP6","26.2322mm","3.7216mm","TopLayer","0"
"U1","80.2740mm","29.7050mm","TopLayer","270"
"U2","56.8020mm","31.9910mm","TopLayer","0"
"U3","72.5170mm","11.3030mm","TopLayer","0"
"U4","34.1190mm","18.1610mm","TopLayer","0"
"U5","56.6410mm","41.3980mm","TopLayer","90"
"U6","34.6710mm","36.3820mm","TopLayer","180"
